mol_id,smiles,source,is_anchor
0,O=CO,core:C(=O)O,False
1,NC=O,anchor:N-Formamide,True
2,CC=O,core:C(=O)C,False
3,CC(=O)O,core:O=C(O)C,False
4,CC(N)=O,core:O=C(N)C,False
5,COC=O,core:C(=O)OC,False
6,COC(C)=O,anchor:Ethyl acetate,True
7,CNC(C)=O,core:O=C(NC)C,False
8,CC(C)=O,anchor:Acetone,True
9,CNC=O,core:C(=O)NC,False
10,CCOC=O,core:C(=O)OCC,False
11,CCCOC=O,core:C(=O)OCCC,False
12,O=C1CCO1,core:O=C1OCC1,False
13,O=C1CNC(=O)N1,core:O=C1NC(=O)NC1,False
14,O=C1CCCC1,core:O=C1CCCC1,False
15,O=C1OCCO1,core:O=C1OCCO1,False
16,O=C1CCCCO1,core:O=C1OCCCC1,False
17,O=C1OCCCCO1,core:O=C1OCCCCO1,False
18,O=C1CCC(=O)O1,core:O=C1OC(=O)CC1,False
19,O=C1C=CC(=O)O1,core:O=C1OC(=O)C=C1,False
20,O=C1C=CC(=O)N1,core:O=C1NC(=O)C=C1,False
21,O=C1NC(=O)C(=O)N1,anchor:Parabanic acid,True
22,O=C1CCC(=O)N1,core:O=C1NC(=O)CC1,False
23,CCC(=O)O,core:CCC(=O)O,False
24,CCC(N)=O,core:CCC(=O)N,False
25,CCCC(=O)O,core:CCCC(=O)O,False
26,CC(C)C(=O)O,core:CC(C)C(=O)O,False
27,CC(O)C(=O)O,core:CC(O)C(=O)O,False
28,CC(N)C(=O)O,core:CC(N)C(=O)O,False
29,O=C(O)CC(=O)O,core:O=C(O)CC(=O)O,False
30,NC(=O)CC(N)=O,core:O=C(N)CC(=O)N,False
31,O=C(O)CCC(=O)O,core:O=C(O)CCC(=O)O,False
32,CCO,anchor:Ethanol,True
33,COC,anchor:Dimethyl ether,True
34,CCOC,anchor:Diethyl ether,True
35,OCO,core:OCO,False
36,COCO,core:COCO,False
37,OCCO,anchor:Ethylene glycol,True
38,OCCCO,anchor:1-3-Propanediol,True
39,CCOCCO,core:OCCOCC,False
40,C1CCOC1,anchor:THF,True
41,C1CCOCC1,anchor:1-4-Dioxane,True
42,C1COCCO1,anchor:Triethylene glycol,True
43,C1COCO1,core:C1OCCO1,False
44,C1COC1,core:C1COC1,False
45,O=C1CCCO1,core:C1CC(=O)OC1,False
46,C1OCOCO1,anchor:1-3-Dioxolane,True
47,COCCOC,core:COCCOC,False
48,CCOCCOC,core:COCCOCC,False
49,C1COCOC1,core:C1OCOCC1,False
50,C1COCOCO1,core:C1OCOCCO1,False
51,CCOCC,core:CCOCC,False
52,CCOCCOCC,core:CCOCCOCC,False
53,OCCOCCO,core:OCCOCCO,False
54,COCCOCCO,core:OCCOCCOC,False
55,CCN,anchor:Diethylamine,True
56,CN(C)C,core:CN(C)C,False
57,CNC,core:CNC,False
58,NCCN,core:NCCN,False
59,NCCCCN,core:NCCCCN,False
60,C1CCNC1,anchor:Pyrrolidine,True
61,C1CCNCC1,anchor:Piperidine,True
62,C1CNCCN1,core:C1CNCCN1,False
63,C1COCCN1,anchor:Morpholine,True
64,C1CNC1,core:C1NCC1,False
65,c1cnccn1,anchor:Pyrazine,True
66,c1ccncc1,anchor:Pyridine,True
67,c1cncnc1,anchor:Pyrimidine,True
68,c1cc[nH]c1,anchor:Pyrrole,True
69,c1ccc2[nH]ccc2c1,anchor:Indole,True
70,c1ncc2[nH]cnc2n1,core:C1=NC2=NC=NC=C2N1,False
71,c1ccc2nccnc2c1,anchor:Quinazoline,True
72,C1CNCN1,core:C1NCCN1,False
73,C1COCN1,core:C1NCCO1,False
74,C1CCC2NCC2C1,core:C1NC2CCCCC12,False
75,c1ccc2[nH]cnc2c1,core:c1ccc2nc[nH]c2c1,False
76,C1CNC2CCC2C1,core:C1CC2NCCCC12,False
77,C1CNC2CCC2N1,core:C1CC2NCCNC12,False
78,CCNC,core:CCNC,False
79,CCNCC,core:CCNCC,False
80,CCN(C)C,core:CCN(C)C,False
81,CCCN,core:CCCN,False
82,CCCNC,core:CCCNC,False
83,CCCCN,core:CCCCN,False
84,CC(C)N,core:CC(N)C,False
85,CCC(C)N,core:CCC(N)C,False
86,NC1CCCC1,core:C1CC(N)CC1,False
87,NC1CCCCC1,core:C1CCC(N)CC1,False
88,CCNC=O,core:C(=O)NCC,False
89,CCCNC=O,core:C(=O)NCCC,False
90,CN(C)C=O,anchor:DMF_iso,True
91,O=CN1CCCC1,core:C(=O)N1CCCC1,False
92,O=CN1CC1,core:C(=O)N1CC1,False
93,O=CNCCO,core:C(=O)NCCO,False
94,O=CN1CCOCC1,core:C(=O)N1CCOCC1,False
95,NCCCNC=O,core:C(=O)NCCCN,False
96,NCCNC=O,core:C(=O)NCCN,False
97,O=CN1CCNC1,core:C(=O)N1CCNC1,False
98,O=CN1CCNCC1,core:C(=O)N1CCNCC1,False
99,CCNC(N)=O,core:O=C(N)NCC,False
100,CCCNC(N)=O,core:O=C(N)NCCC,False
101,CN(C)C(N)=O,core:O=C(N)N(C)C,False
102,NC(=O)N1CCCC1,core:O=C(N)N1CCCC1,False
103,NC(=O)N1CC1,core:O=C(N)N1CC1,False
104,O=CNC=O,core:C(=O)NC=O,False
105,CCNC(C)=O,core:CC(=O)NCC,False
106,CCCNC(C)=O,core:CC(=O)NCCC,False
107,CC(=O)N(C)C,anchor:DMF,True
108,CC(=O)N1CCCC1,core:CC(=O)N1CCCC1,False
109,CCC(=O)NC,core:CCC(=O)NC,False
110,CCNC(=O)CC,core:CCC(=O)NCC,False
111,CC(C)C(N)=O,core:CC(C)C(=O)N,False
112,CC(O)C(N)=O,core:CC(O)C(=O)N,False
113,CC(N)C(N)=O,core:CC(N)C(=O)N,False
114,CC#N,anchor:Acetonitrile,True
115,CCC#N,core:CCC#N,False
116,CCCC#N,core:N#CCCC,False
117,C#CCC#N,core:C#CCC#N,False
118,C#CC#N,core:C#CC#N,False
119,C#CN,core:C#CN,False
120,C#CCO,core:C#CCO,False
121,C#CCN,core:C#CCN,False
122,N#CCO,core:N#CCO,False
123,N#CCN,core:N#CCN,False
124,CC#CCO,core:CC#CCO,False
125,CC#CCN,core:CC#CCN,False
126,C[N+](=O)[O-],core:C[N+](=O)[O-],False
127,CS(C)(=O)=O,core:C(S(=O)(=O)C),False
128,CS(=O)(=O)F,core:C(S(=O)(=O)F),False
129,CS(=O)(=O)O,core:OS(=O)(=O)C,False
130,CS(N)(=O)=O,core:NS(=O)(=O)C,False
131,CCN=O,core:O=NCC,False
132,CN=O,core:O=NC,False
133,C[S+](=O)[O-],core:C[S+](=O)[O-],False
134,CC(=O)C[N+](=O)[O-],core:CC(=O)C[N+](=O)[O-],False
135,CO[PH](=O)OC,core:COP(=O)OC,False
136,CNP(=O)(N(C)C)N(C)C,core:N(C)P(=O)(N(C)C)N(C)C,False
137,CCO[PH](=O)OCC,core:O=P(OCC)OCC,False
138,CN(C)[PH](=O)N(C)C,core:O=P(N(C)C)N(C)C,False
139,CCO[PH](=O)O,core:O=P(O)OCC,False
140,CO[PH](=O)O,core:O=P(O)OC,False
141,CCO[PH](=O)OC,core:O=P(OC)OCC,False
142,O=PO,core:OP=O,False
143,O=[PH](O)O,core:OP(=O)O,False
144,CCP(C)(C)=O,core:CCP(=O)(C)C,False
145,CCOP(=O)(CC)OCC,core:CCP(=O)(OCC)OCC,False
146,CCOP(=O)(OCC)OCC,core:CCOP(=O)(OCC)OCC,False
147,FC(F)F,anchor:Fluorinated carbonate,True
148,CCF,core:C(F)C,False
149,CC(F)F,core:C(F)(F)C,False
150,OC(F)(F)F,anchor:Trifluoromethanol,True
151,CC(F)(F)F,anchor:1-1-1-Trifluoroethane,True
152,COC(F)F,core:C(F)(F)OC,False
153,OC(F)F,core:C(F)(F)O,False
154,FCCl,core:C(F)Cl,False
155,FCF,core:FCF,False
156,O=CF,core:FC(=O),False
157,FCBr,core:FCBr,False
158,FCc1ccccc1,core:FC(c1ccccc1),False
159,FC(F)(F)c1ccccc1,anchor:Benzotrifluoride,True
160,OCF,core:C(F)O,False
161,NCF,core:C(F)N,False
162,FC1CCC1,core:C1C(F)CC1,False
163,FC1CCO1,core:C1C(F)OC1,False
164,CC(O)(F)F,core:OC(F)(F)C,False
165,CCC(O)(F)F,core:OC(F)(F)CC,False
166,O=C(O)F,core:FC(=O)O,False
167,NC(=O)F,core:FC(=O)N,False
168,CNC(=O)F,core:FC(=O)NC,False
169,CCOC(=O)F,core:FC(=O)OCC,False
170,NC(F)(F)F,core:FC(F)(F)N,False
171,NC(F)F,core:FC(F)N,False
172,COC(F)(F)F,anchor:Methoxymethyltrifluoride,True
173,CCOC(F)(F)F,core:FC(F)(F)OCC,False
174,O=CC(F)F,core:C(F)(F)C=O,False
175,O=CC(F)(F)F,core:FC(F)(F)C(=O),False
176,N#CC(F)(F)F,core:FC(F)(F)C#N,False
177,FC(F)(F)S,core:FC(F)(F)S,False
178,FC(F)S,core:FC(F)S,False
179,FC(F)(F)P,core:FC(F)(F)P,False
180,CC(C)F,core:CC(F)C,False
181,CCC(C)F,core:CCC(F)C,False
182,CCC(C)(F)F,core:CC(F)(F)CC,False
183,FCI,core:FCI,False
184,COC(O)(F)F,core:OC(F)(F)OC,False
185,CC(O)F,core:OC(F)C,False
186,CC(N)F,core:NC(F)C,False
187,NCCO,core:NCCO,False
188,NCCCO,core:NCCCO,False
189,CCOCCN,core:NCCOCC,False
190,OCCNCCO,core:OCCNCCO,False
191,CCNCCN,core:NCCNCC,False
192,O=COCCO,core:C(=O)OCCO,False
193,OC1CCNC1,core:C1NCC(O)C1,False
194,O=C1NCCO1,core:C1OC(=O)NC1,False
195,NC(=O)CO,core:OCC(=O)N,False
196,O=CCO,core:OCC=O,False
197,C=CCO,core:OCC=C,False
198,NCC=O,core:NCC=O,False
199,NCCNCCO,core:NCCNCCO,False
200,CC(N)CN,core:NCC(N)C,False
201,CC(N)CO,core:C(O)C(N)C,False
202,CCNCCO,core:C(O)CNCC,False
203,CC(O)CO,core:C(O)C(O)C,False
204,NCCC(=O)O,core:C(N)CC(=O)O,False
205,NC(=O)CNC=O,core:C(=O)NCC(=O)N,False
206,CC(=O)NCCO,core:OCCNC(=O)C,False
207,COCCO,core:OCCOC,False
208,CCCOCCO,core:OCCOCCC,False
209,CCOCCCO,core:OCCCOCC,False
210,OC1CCO1,core:C1COC1O,False
211,OC1CCC1O,core:C1CC(O)C1O,False
212,NC1CCC1O,core:C1CC(N)C1O,False
213,NC1CCO1,core:C1COC1N,False
214,NCCCN,core:C(CN)CN,False
215,C1COCCOC1,core:C1OCCOCC1,False
216,Oc1ccccc1,core:c1ccc(O)cc1,False
217,Nc1ccccc1,anchor:Aniline,True
218,O=Cc1ccccc1,anchor:Benzaldehyde,True
219,N#Cc1ccccc1,core:c1ccc(C#N)cc1,False
220,Fc1ccccc1,core:c1ccc(F)cc1,False
221,Oc1ccc(O)cc1,core:c1cc(O)ccc1O,False
222,Nc1ccc(N)cc1,core:c1cc(N)ccc1N,False
223,O=Cc1ccc(C=O)cc1,core:c1cc(C=O)ccc1C=O,False
224,Oc1cccnc1,core:c1ccncc1O,False
225,Nc1cccnc1,core:c1ccncc1N,False
226,N#Cc1cccnc1,core:c1ccncc1C#N,False
227,Fc1cccnc1,core:c1ccncc1F,False
228,O=Cc1cccnc1,core:c1ccncc1C=O,False
229,Oc1ccccn1,core:Oc1ccccn1,False
230,Nc1ccccn1,anchor:2-Aminopyridine,True
231,COc1cccnc1,core:c1ccncc1OC,False
232,CCc1cccnc1,core:c1ccncc1CC,False
233,Cc1ccncc1,core:Cc1ccncc1,False
234,Fc1ccncc1,core:Fc1ccncc1,False
235,Clc1ccncc1,core:Clc1ccncc1,False
236,c1ccc2c(c1)OCCO2,core:c1ccc2c(c1)OCCO2,False
237,O=C1Cc2ccccc2N1,core:O=C1Nc2ccccc2C1,False
238,O=c1[nH]c2ccccc2[nH]1,core:O=C1Nc2ccccc2N1,False
239,Oc1ccccc1O,core:c1ccc(O)c(O)c1,False
240,Nc1ccccc1O,core:c1ccc(O)c(N)c1,False
241,Nc1ccccc1N,core:c1ccc(N)c(N)c1,False
242,OCc1ccccc1,core:c1ccc(CO)cc1,False
243,NCCc1ccccc1,core:c1ccc(CCN)cc1,False
244,OCCc1ccccc1,core:c1ccc(CCO)cc1,False
245,NCc1ccccc1,core:c1ccc(CN)cc1,False
246,NOCc1ccccc1,core:c1ccc(CON)cc1,False
247,N#CCc1ccccc1,core:c1ccc(CC#N)cc1,False
248,CS(=O)c1ccccc1,core:c1ccc(S(=O)C)cc1,False
249,Nc1ccc(O)cc1,core:Oc1ccc(N)cc1,False
250,O=Cc1ccc(O)cc1,core:O=Cc1ccc(O)cc1,False
251,Nc1ccc(C=O)cc1,core:O=Cc1ccc(N)cc1,False
252,O=Cc1ccc(F)cc1,core:O=Cc1ccc(F)cc1,False
253,COc1ccccc1,core:c1ccc(OC)cc1,False
254,CCOc1ccccc1,core:c1ccc(OCC)cc1,False
255,O=CCc1ccccc1,core:c1ccc(CC=O)cc1,False
256,O=CCCc1ccccc1,core:c1ccc(CCC=O)cc1,False
257,N#CCCc1ccccc1,core:c1ccc(CCC#N)cc1,False
258,Fc1ccccn1,core:c1ccnc(F)c1,False
259,Clc1ccccn1,core:c1ccnc(Cl)c1,False
260,Cc1ccccn1,core:c1ccnc(C)c1,False
261,CCc1ccccn1,core:c1ccnc(CC)c1,False
262,CCCc1ccccn1,core:c1ccnc(CCC)c1,False
263,Clc1cccnc1,core:c1ccncc1Cl,False
264,Cc1cccnc1,core:c1ccncc1C,False
265,CCCc1cccnc1,core:c1ccncc1CCC,False
266,C[n+]1ccccc1,core:c1cc[n+](C)cc1,False
267,C[n+]1ccncc1,core:C[n+]1ccncc1,False
268,C[n+]1cccnc1,core:C[n+]1cnccc1,False
269,Cn1ccnc1,core:c1cn(C)cn1,False
270,Cn1cccc1,core:c1ccn(C)c1,False
271,CCC=O,core+tail:O=C+CC,False
272,CCCC=O,core+tail:O=C+CCC,False
273,CCCCC=O,core+tail:O=C+CCCC,False
274,CC(C)C=O,core+tail:O=C+C(C)C,False
275,CC(C)(C)C=O,core+tail:O=C+C(C)(C)C,False
276,C=CC=O,core+tail:O=C+C=C,False
277,C#CC=O,core+tail:O=C+C#C,False
278,CC(C)OC=O,core+tail:O=C+OC(C)C,False
279,O=CCl,core+tail:O=C+Cl,False
280,O=CC=O,core+tail:O=C+C=O,False
281,CC(=O)C=O,core+tail:O=C+C(=O)C,False
282,O=CC(=O)O,core+tail:O=C+C(=O)O,False
283,NC(=O)C=O,core+tail:O=C+C(=O)N,False
284,CNC(=O)C=O,core+tail:O=C+C(=O)NC,False
285,N#CC=O,core+tail:O=C+C#N,False
286,O=CS,core+tail:O=C+S,False
287,CSC=O,core+tail:O=C+SC,False
288,CS(=O)C=O,core+tail:O=C+S(=O)C,False
289,CS(=O)(=O)C=O,core+tail:O=C+S(=O)(=O)C,False
290,O=Cc1ccncc1,core+tail:O=C+c1ccncc1,False
291,O=Cc1cnccn1,core+tail:O=C+c1cnccn1,False
292,O=COC1CC1,core+tail:O=C+OC1CC1,False
293,O=CC1CC1,core+tail:O=C+C1CC1,False
294,O=CC1CCOC1,core+tail:O=C+C1CCOC1,False
295,O=CC1CCNC1,core+tail:O=C+C1CCNC1,False
296,CCC(O)C=O,core+tail:O=C+C(O)CC,False
297,O=CC(O)O,core+tail:O=C+C(O)O,False
298,CC(O)C=O,core+tail:O=C+C(O)C,False
299,COP(=O)(C=O)OC,core+tail:O=C+P(=O)(OC)OC,False
300,COC(=O)C=O,core+tail:O=C+C(=O)OC,False
301,O=CP,core+tail:O=C+P,False
302,C[PH](=O)C=O,core+tail:O=C+P(=O)C,False
303,N[PH](=O)C=O,core+tail:O=C+P(=O)N,False
304,CCCCOC=O,core+tail:C(=O)O+CCCC,False
305,CC(C)(C)OC=O,core+tail:C(=O)O+C(C)(C)C,False
306,C=COC=O,core+tail:C(=O)O+C=C,False
307,C#COC=O,core+tail:C(=O)O+C#C,False
308,NOC=O,core+tail:C(=O)O+N,False
309,CNOC=O,core+tail:C(=O)O+NC,False
310,CCNOC=O,core+tail:C(=O)O+NCC,False
311,CN(C)OC=O,core+tail:C(=O)O+N(C)C,False
312,O=CON1CC1,core+tail:C(=O)O+N1CC1,False
313,O=COF,core+tail:C(=O)O+F,False
314,O=COCl,core+tail:C(=O)O+Cl,False
315,O=COC=O,core+tail:C(=O)O+C=O,False
316,CC(=O)OC=O,core+tail:C(=O)O+C(=O)C,False
317,O=COC(=O)O,core+tail:C(=O)O+C(=O)O,False
318,NC(=O)OC=O,core+tail:C(=O)O+C(=O)N,False
319,CNC(=O)OC=O,core+tail:C(=O)O+C(=O)NC,False
320,N#COC=O,core+tail:C(=O)O+C#N,False
321,O=COS,core+tail:C(=O)O+S,False
322,CSOC=O,core+tail:C(=O)O+SC,False
323,CS(=O)OC=O,core+tail:C(=O)O+S(=O)C,False
324,CS(=O)(=O)OC=O,core+tail:C(=O)O+S(=O)(=O)C,False
325,O=COc1ccccc1,core+tail:C(=O)O+c1ccccc1,False
326,O=COc1ccncc1,core+tail:C(=O)O+c1ccncc1,False
327,O=COc1cnccn1,core+tail:C(=O)O+c1cnccn1,False
328,O=COC1CCOC1,core+tail:C(=O)O+C1CCOC1,False
329,O=COC1CCNC1,core+tail:C(=O)O+C1CCNC1,False
330,CCC(O)OC=O,core+tail:C(=O)O+C(O)CC,False
331,O=COC(O)O,core+tail:C(=O)O+C(O)O,False
332,CC(O)OC=O,core+tail:C(=O)O+C(O)C,False
333,COP(=O)(OC)OC=O,core+tail:C(=O)O+P(=O)(OC)OC,False
334,COC(=O)OC=O,core+tail:C(=O)O+C(=O)OC,False
335,NCOC=O,core+tail:C(=O)O+CN,False
336,O=COP,core+tail:C(=O)O+P,False
337,C[PH](=O)OC=O,core+tail:C(=O)O+P(=O)C,False
338,N[PH](=O)OC=O,core+tail:C(=O)O+P(=O)N,False
339,CCCCNC=O,core+tail:C(=O)N+CCCC,False
340,CC(C)NC=O,core+tail:C(=O)N+C(C)C,False
341,CC(C)(C)NC=O,core+tail:C(=O)N+C(C)(C)C,False
342,C=CNC=O,core+tail:C(=O)N+C=C,False
