mol_id,smiles,dn_rf,dn_empirical,dn_final,confidence,is_anchor
0,O=CO,17.87320000000003,20.015476338012018,18.91403213713451,high,False
1,NC=O,23.655200000000026,24.515677755499503,24.0,high,True
2,CC=O,17.64080000000003,21.480805255503114,19.46634504346617,medium,False
3,CC(=O)O,17.620000000000037,19.95141503079045,18.74950486926331,high,False
4,CC(N)=O,24.57800000000004,24.44383840944862,24.510827412134194,high,False
5,COC=O,17.955800000000046,19.970517642146117,18.936383516364685,high,False
6,COC(C)=O,17.383400000000098,19.90663136017649,17.1,high,True
7,CNC(C)=O,26.50200000000009,24.38343459537602,25.420656632877474,high,False
8,CC(C)=O,17.673400000000015,21.40536279041764,17.0,medium,True
9,CNC=O,25.56900000000005,24.455088452812902,25.005842450314972,high,False
10,CCOC=O,17.706800000000058,19.956222233856106,18.797894452582835,high,False
11,CCCOC=O,17.921800000000033,19.958897553347388,18.912941869830348,high,False
12,O=C1CCO1,17.183800000000026,19.92387199216968,18.503184362131993,high,False
13,O=C1CNC(=O)N1,25.85220000000002,25.782862129961167,25.817507787472103,high,False
14,O=C1CCCC1,17.198400000000024,21.345701956217006,19.160164939890343,medium,False
15,CCO,19.3024,21.654525334591906,19.2,high,True
16,COC,19.690399999999993,22.05848249644604,19.5,high,True
17,CCOC,19.77719999999989,22.041384107874528,19.9,high,True
18,OCO,19.17160000000002,20.108995931894825,19.634704642747117,high,False
19,COCO,19.317199999999996,20.05514432997615,19.682714092599507,high,False
20,OCCO,19.800800000000006,20.062590814509697,20.0,high,True
21,OCCCO,19.772800000000007,20.015161102869932,20.0,high,True
22,CCOCCO,20.345800000000008,20.037185467693078,20.190903102352554,high,False
23,C1CCOC1,19.4144,22.001154872917095,20.0,high,True
24,C1CCOCC1,17.183600000000055,22.007070071584124,14.8,medium,True
25,C1COCCO1,21.181800000000003,20.44143139970378,22.0,high,True
26,C1COCO1,20.025200000000012,20.454737708133095,20.238829352334267,high,False
27,C1COC1,19.33240000000001,22.010617778418414,20.62808927505154,high,False
28,O=C1CCCO1,17.043400000000027,19.866857292301944,18.401054197399112,high,False
29,C1OCOCO1,20.4706,18.88310551924487,21.0,high,True
30,CCN,29.081200000000027,26.55688376900502,32.0,high,True
31,CN(C)C,27.07900000000008,26.894431182987045,26.986557802063388,high,False
32,CNC,27.349800000000073,26.802012966936793,27.0745211267555,high,False
33,NCCN,27.418400000000048,29.495260815835973,28.43787719139596,high,False
34,NCCCCN,29.20500000000007,29.499066561141507,29.351665011003035,high,False
35,C1CCNC1,28.96640000000017,26.763225615775664,29.6,high,True
36,C1CCNCC1,31.390600000000195,26.777039795288832,32.1,medium,True
37,C1CNCCN1,29.33760000000009,29.700621857179826,29.518552874373796,high,False
38,C1COCCN1,26.43500000000003,24.956378047749908,25.0,high,True
39,C1CNC1,27.894200000000094,26.755454552354216,27.318894567209004,high,False
40,c1cnccn1,26.990200000000005,29.65639432438471,28.0,high,True
41,c1ccncc1,31.36500000000019,26.71752270482173,33.1,medium,True
42,c1cncnc1,25.338200000000004,29.65700653710614,24.0,high,True
43,c1cc[nH]c1,24.49000000000004,26.82942810979936,22.0,high,True
44,c1ccc2[nH]ccc2c1,28.819000000000027,26.87832627635294,28.0,high,True
45,c1ncc2[nH]cnc2n1,28.048600000000018,35.652155948303246,31.62266689151279,medium,False
46,c1ccc2nccnc2c1,28.624600000000015,29.712368028169458,28.0,high,True
47,CCNC=O,26.53500000000007,24.448070704693666,25.47016992776154,high,False
48,CCCNC=O,28.653400000000058,24.45136622877742,26.469128755961204,medium,False
49,CN(C)C=O,26.546600000000176,24.410615313959728,26.6,high,True
50,O=CN1CCCC1,27.946600000000046,24.382736398030826,26.103918882443867,high,False
51,O=CN1CC1,26.095400000000065,24.42300437124486,25.245357360698716,high,False
52,O=CNCCO,25.808400000000066,22.852721631119778,24.285637338653338,high,False
53,CC#N,18.710400000000117,26.2039618863765,14.1,medium,True
54,CCC#N,23.82720000000008,26.191776859102042,24.98152728672125,high,False
55,CCCC#N,25.91500000000008,26.191530717253087,26.052898467111405,high,False
56,C#CCC#N,25.074200000000083,26.280540816129545,25.670285088635023,high,False
57,FC(F)F,15.520000000000001,13.079415748646783,18.0,medium,True
58,CCF,18.479799999999997,19.621544779012307,19.04211708836997,high,False
59,CC(F)F,17.056,16.31572418990265,16.681756255951576,high,False
60,OC(F)(F)F,14.036400000000002,11.430106217134718,15.0,medium,True
61,CC(F)(F)F,9.057,13.006564891832415,5.0,low,True
62,COC(F)F,17.278600000000015,14.691931891930817,15.932859579746381,medium,False
63,OC(F)F,17.266400000000008,14.760528146192575,15.964372307842849,medium,False
64,FCCl,19.812600000000007,19.7455059512494,19.779024526243045,high,False
65,FCF,17.288800000000005,16.40215839737324,16.839644773584343,high,False
66,O=CF,17.731400000000026,18.083160772110492,17.906416640819025,high,False
67,FCBr,21.031200000000002,19.707396211412245,20.358540989016213,high,False
68,FCc1ccccc1,17.552000000000007,19.56570208925563,18.531519178702403,high,False
69,FC(F)(F)c1ccccc1,11.282600000000002,12.959286939591596,14.0,high,True
70,C[N+](=O)[O-],23.345200000000055,22.677492950867965,23.00892453889586,high,False
71,CS(C)(=O)=O,21.933600000000006,19.71595596377299,20.79523723661289,high,False
72,CS(=O)(=O)F,19.501800000000006,16.245730257704924,17.79946578804291,medium,False
73,CS(=O)(=O)O,21.081200000000013,18.141421107796386,19.556148052663065,medium,False
74,CS(N)(=O)=O,25.477800000000023,22.672624902888092,24.034321349911313,high,False
75,OP,22.40940000000002,21.697338180348254,22.05049501074061,high,False
76,O=P,21.140600000000024,21.569143017693648,21.3537964980435,high,False
77,CO[PH](=O)OC,19.9548,18.1669471491454,19.039900130299177,high,False
78,CNP(=O)(N(C)C)N(C)C,28.58100000000003,29.973038990686554,29.268744889263928,high,False
79,CCC=O,17.930600000000023,21.456396130912534,19.614434900474212,medium,False
80,CCCC=O,18.144000000000023,21.45140001551588,19.728512409239595,medium,False
81,CCCCC=O,18.419600000000017,21.453449999353154,19.8787315392126,high,False
82,CC(C)C=O,18.19440000000001,21.44147650667752,19.751324010128883,medium,False
83,CC(C)(C)C=O,17.791200000000014,21.42552955544176,19.52398221231457,medium,False
84,CC(C)OC=O,17.889200000000038,19.942350770939115,18.887898279360908,high,False
85,O=CCl,21.147400000000015,21.604676004218415,21.37481521163654,high,False
86,O=CC=O,18.20280000000002,19.929470694256693,19.046578935688586,high,False
87,CC(=O)C=O,18.321800000000053,19.854461730326097,19.072741725580247,high,False
88,O=CC(=O)O,18.653000000000045,18.40492014614701,18.52854488312779,high,False
89,NC(=O)C=O,25.143400000000042,22.896927035090833,23.993886621681444,high,False
90,CNC(=O)C=O,26.05080000000006,22.836706527161525,24.390868668372203,high,False
91,N#CC=O,22.474800000000073,24.476806058314597,23.45445204645401,high,False
92,O=CS,21.93440000000001,21.55597390641139,21.744363730695596,high,False
93,CSC=O,21.72519999999999,21.49788822821615,21.611245251850743,high,False
94,CS(=O)C=O,21.06940000000002,19.793418626871553,20.421445943346125,high,False
95,CS(=O)(=O)C=O,20.67080000000002,18.167835796249875,19.37894992452177,high,False
96,O=Cc1ccccc1,18.603,21.461808220648347,18.5,high,True
97,O=Cc1ccncc1,29.136800000000044,24.340545857868925,26.63091467733612,medium,False
98,O=Cc1cnccn1,27.82960000000004,27.343736999020564,27.585598836855866,high,False
99,O=COC1CC1,16.946400000000025,19.926830401253397,18.37629012373828,high,False
100,O=CC1CC1,16.91860000000002,21.425725608992636,19.039256321828937,medium,False
101,O=CC1CCOC1,17.118800000000018,19.796765173712778,18.409151627811497,high,False
102,O=CC1CCNC1,27.916400000000017,24.325359240753816,26.059095508259304,high,False
103,CCC(O)C=O,17.89480000000003,19.87518192641908,18.85901390680024,high,False
104,O=CC(O)O,18.186000000000025,18.324196876485125,18.254967663508992,high,False
105,CC(O)C=O,17.817800000000044,19.881264732238993,18.821275162594294,high,False
