id,source_db,smiles,name,cas,salt,concentration_m,temperature_K,conductivity_S_cm,viscosity_cp,source_doi,dn,an,epsilon_r,dipole_debye,oxidation_V,reduction_V,family,doi,license,notes
CAL-00000,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,333.2350339,0.160642894,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00001,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,322.7649243,0.150856146,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00002,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,313.8017217,0.14166563,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00003,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,303.681806,0.13227699,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00004,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,293.0497925,0.119347689,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00005,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,283.4922228,0.110171803,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00006,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,273.5415154,0.098273586,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00007,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,263.3418784,0.0856794,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00008,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,253.3064335,0.072181505,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
CAL-00009,CALiSol-23,,EC+DMC+DEC,,LiPF6,1.0,243.4820082,0.058092757,nan,10.1007/s10008-002-0300-9,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1038/s41597-024-03575-8,CC BY 4.0,CALiSol-23 experimental conductivity
