id,source_db,smiles,name,cas,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes,temperature_K,concentration_m
ELC-00000,ELC,O=C1OCCO1,O=C1OCCO1,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00001,ELC,O=C1OCCO1,O=C1OCCO1,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00002,ELC,O=C1OCCO1,O=C1OCCO1,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00003,ELC,O=C1OCCO1,O=C1OCCO1,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00004,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00005,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00006,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00007,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00008,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00009,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00010,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00011,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00012,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00013,ELC,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00014,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00015,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00016,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00017,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00018,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00019,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00020,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00021,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
ELC-00022,ELC,CCOC(=O)OC(C)F,CCOC(=O)OC(C)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan,nan
