id,source_db,smiles,name,cas,formula,sigma_ion_S_cm,E_g_eV,migration_barrier_eV,space_group,icsd_id,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes
SUP-0000,McHaffie_superionic,,Li6.7La3Zr1.7Ta0.3O12,,Li6.7La3Zr1.7Ta0.3O12,0.000504,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0001,McHaffie_superionic,,Li6.5La3Zr1.5Ta0.5O12,,Li6.5La3Zr1.5Ta0.5O12,0.000842,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0002,McHaffie_superionic,,Li4B7O12Cl,,Li4B7O12Cl,2.4e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0003,McHaffie_superionic,,Li2TeO4,,Li2TeO4,3.79e-16,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0004,McHaffie_superionic,,Li2SO4,,Li2SO4,1.4e-14,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0005,McHaffie_superionic,,Li6CuB4O10,,Li6CuB4O10,1e-13,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0006,McHaffie_superionic,,Li10.2(Sn0.2Si0.8)1.2P1.8S12,,Li10.2(Sn0.2Si0.8)1.2P1.8S12,0.0025,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0007,McHaffie_superionic,,Li10.35(Sn0.2Si0.8)1.35P1.65S12,,Li10.35(Sn0.2Si0.8)1.35P1.65S12,0.011,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0008,McHaffie_superionic,,Li1.8LaNbTa1.2Ti0.8O7,,Li1.8LaNbTa1.2Ti0.8O7,4.26e-09,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0009,McHaffie_superionic,,LiTi2(PO4)3,,LiTi2(PO4)3,3.13e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0010,McHaffie_superionic,,Li1.114Al0.101Ti1.9(PO4)3,,Li1.114Al0.101Ti1.9(PO4)3,0.00173,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0011,McHaffie_superionic,,Li1.222Al0.205Ti1.795(PO4)3,,Li1.222Al0.205Ti1.795(PO4)3,0.00173,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0012,McHaffie_superionic,,Li1.252Al0.281Ti1.718(PO4)3,,Li1.252Al0.281Ti1.718(PO4)3,0.00317,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0013,McHaffie_superionic,,Li1.312Al0.407Ti1.592(PO4)3,,Li1.312Al0.407Ti1.592(PO4)3,0.00563,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0014,McHaffie_superionic,,Li1.421Al0.421Ti1.579(PO4)3,,Li1.421Al0.421Ti1.579(PO4)3,0.00563,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0015,McHaffie_superionic,,Li1.414Al0.511Ti1.489(PO4)3,,Li1.414Al0.511Ti1.489(PO4)3,0.0047,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0016,McHaffie_superionic,,Li3SbS4,,Li3SbS4,4.8e-09,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0017,McHaffie_superionic,,Li5GaO4,,Li5GaO4,5.33e-12,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0018,McHaffie_superionic,,Li6.2P0.8Si0.2S5I,,Li6.2P0.8Si0.2S5I,7.16e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0019,McHaffie_superionic,,Li6.25P0.75Si0.25S5I,,Li6.25P0.75Si0.25S5I,0.000169031,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0020,McHaffie_superionic,,Li6.3P0.7Si0.3S5I,,Li6.3P0.7Si0.3S5I,0.000466257,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0021,McHaffie_superionic,,Li6.4P0.6Si0.4S5I,,Li6.4P0.6Si0.4S5I,0.000836458,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0022,McHaffie_superionic,,Li6.5P0.5Si0.5S5I,,Li6.5P0.5Si0.5S5I,0.001361319,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0023,McHaffie_superionic,,Li6.6P0.4Si0.6S5I,,Li6.6P0.4Si0.6S5I,0.00156275,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0024,McHaffie_superionic,,Li6.7P0.3Si0.7S5I,,Li6.7P0.3Si0.7S5I,0.002009892,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0025,McHaffie_superionic,,Li6.05P0.95Sn0.05S5I,,Li6.05P0.95Sn0.05S5I,7.27e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0026,McHaffie_superionic,,Li6.1P0.9Sn0.1S5I,,Li6.1P0.9Sn0.1S5I,3.5e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0027,McHaffie_superionic,,Li6.15P0.85Sn0.15S5I,,Li6.15P0.85Sn0.15S5I,4.42e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0028,McHaffie_superionic,,Li6.2P0.8Sn0.2S5I,,Li6.2P0.8Sn0.2S5I,5.82e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0029,McHaffie_superionic,,Li6.25P0.75Sn0.25S5I,,Li6.25P0.75Sn0.25S5I,7.67e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0030,McHaffie_superionic,,Li6.3P0.7Sn0.3S5I,,Li6.3P0.7Sn0.3S5I,9.17e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0031,McHaffie_superionic,,LiMgPO4,,LiMgPO4,5.23e-12,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0032,McHaffie_superionic,,Li3.81Sn0.85Sb0.15S4,,Li3.81Sn0.85Sb0.15S4,0.00085,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0033,McHaffie_superionic,,Li4SnS4,,Li4SnS4,2.7e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
