id,formula,name,family,source,sigma_ion_S_cm,E_g_eV,stability_window_V,migration_barrier_eV,cost_index,dn_pbp_v2,a_A,b_A,c_A,space_group,DOI,rank
P-01,Li5.5PS4.5Cl1.5Br0.5I0.5,LGSSSI (high-entropy argyrodite),halide,CAS 2025 LGSSSI,0.0322,2.6,5.5,0.18,2.5,7.434443584449264,0.0,0.0,0.0,,,1
OBX-0209,Li9.54Si1.74P1.44S11.7Cl0.3,Li9.54Si1.74P1.44S11.7Cl0.3,lgps,OBELiX,0.025,2.5,5.0,0.22,1.0545454545454545,7.4031138830084195,8.709652,8.709652,12.56907,P42/nmc ,10.1038/nenergy.2016.30,2
SUP-0226,Li9.54Si1.74P1.44S11.4Cl0.3O0.3,Li9.54Si1.74P1.44S11.4Cl0.3O0.3,superionic,McHaffie-CaltechDATA,0.028,4.0,4.5,0.4,1.0545454545454545,7.367332005306816,0.0,0.0,0.0,,10.22002/23mvv-6gk43,3
OBX-0179,Li10.35Ge1.35P1.65S12,Li10.35Ge1.35P1.65S12,lgps,OBELiX,0.0144,2.5,5.0,0.22,1.175,7.365,8.713023,8.713023,12.639695,P42/nmc ,10.1039/c4ta05231e,4
OBX-0193,Li10(Ge0.776Sn0.224)P2S12,Li10(Ge0.776Sn0.224)P2S12,lgps,OBELiX,0.0141,2.5,5.0,0.22,1.0166666666666666,7.36374342087038,8.71859,8.71859,12.6514,P42/nmc ,10.1021/acs.chemmater.8b00266,5
OBX-0176,Li10.2Ge1.2P1.8S12,Li10.2Ge1.2P1.8S12,lgps,OBELiX,0.0132,2.5,5.0,0.22,1.175,7.359891252930761,8.7043,8.7043,12.616,P42/nmc ,10.1039/c4ta05231e,6
OBX-0434,Li3ClO,Li3ClO,other,OBELiX,0.025,4.0,4.5,0.4,1.1,7.35811388300842,3.91,3.91,3.91,Pm-3m,10.1039/c3ta15087a,7
OBX-0175,Li10.05Ge1.05P1.95S12,Li10.05Ge1.05P1.95S12,lgps,OBELiX,0.0122,2.5,5.0,0.22,1.175,7.355453610171873,8.6944,8.6944,12.60025,P42/nmc ,10.1039/c4ta05231e,8
OBX-0178,Li10GeP2S12,Li10GeP2S12,lgps,OBELiX,0.0121,2.5,5.0,0.22,1.176,7.355,8.719,8.719,12.639,P42/nmc ,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,9
SUP-0230,Li5.52PS4.3ClBr0.7,Li5.52PS4.3ClBr0.7,superionic,McHaffie-CaltechDATA,0.024,4.0,4.5,0.4,1.0636363636363635,7.354919333848297,0.0,0.0,0.0,,10.22002/23mvv-6gk43,10
OBX-0177,Li10.5Ge1.5P1.5S12,Li10.5Ge1.5P1.5S12,lgps,OBELiX,0.011,2.5,5.0,0.22,1.175,7.349880884817016,8.7025,8.7025,12.6251,P42/nmc ,10.1039/c4ta05231e,11
OBX-0200,Li10.35(Sn0.27Si1.08)P1.65S12,Li10.35(Sn0.27Si1.08)P1.65S12,lgps,OBELiX,0.011,2.5,5.0,0.22,1.05,7.349880884817016,8.67822,8.67822,12.5744,P42/nmc ,10.1021/acs.chemmater.7b00886,12
OBX-0198,Li10.5(Sn0.2Si0.8)1.5P1.5S12,Li10.5(Sn0.2Si0.8)1.5P1.5S12,lgps,OBELiX,0.00879,2.5,5.0,0.22,1.008695652173913,7.338754999866675,8.69204,8.69204,12.6166,P42/nmc ,10.1021/acs.chemmater.7b00886,13
SUP-0203,Li6.16Si0.62Sb0.38S5.07I0.93,Li6.16Si0.62Sb0.38S5.07I0.93,superionic,McHaffie-CaltechDATA,0.019,4.0,4.5,0.4,1.0,7.337840487520903,0.0,0.0,0.0,,10.22002/23mvv-6gk43,14
OBX-0199,Li10.2(Sn0.2Si0.8)1.2P1.8S12,Li10.2(Sn0.2Si0.8)1.2P1.8S12,lgps,OBELiX,0.00782,2.5,5.0,0.22,1.008695652173913,7.333430763877737,8.65173,8.65173,12.5349,P42/nmc ,10.1021/acs.chemmater.7b00886,15
OBX-0195,Li10(Ge0.416Sn0.584)P2S12,Li10(Ge0.416Sn0.584)P2S12,lgps,OBELiX,0.00743,2.5,5.0,0.22,1.0166666666666666,7.33119744775804,8.72902,8.72902,12.7065,P42/nmc ,10.1021/acs.chemmater.8b00266,16
SUP-0064,Li10Ge(P0.925Sb0.075)2S12,Li10Ge(P0.925Sb0.075)2S12,superionic,McHaffie-CaltechDATA,0.0172,4.0,4.5,0.4,1.173913043478261,7.331148770486041,0.0,0.0,0.0,,10.22002/23mvv-6gk43,17
SUP-0229,Li5.64PS4.5ClBr0.5,Li5.64PS4.5ClBr0.5,superionic,McHaffie-CaltechDATA,0.017,4.0,4.5,0.4,1.0636363636363635,7.330384048104054,0.0,0.0,0.0,,10.22002/23mvv-6gk43,18
OBX-0191,Li10SnP2S12,Li10SnP2S12,lgps,OBELiX,0.007,2.5,5.0,0.22,1.1159999999999999,7.328666002653408,8.7057,8.7057,12.7389,P42/nmc ,10.1021/ja407393y,19
OBX-0208,Li7GePS8,Li7GePS8,lgps,OBELiX,0.007,2.5,5.0,0.22,1.2470588235294118,7.328666002653408,8.718,8.718,12.66,P42/nmc ,10.1039/c3ee41728j,20
OBX-0180,Li3.45Si0.45P0.55S4,Li3.45Si0.45P0.55S4,lgps,OBELiX,0.00673,2.5,5.0,0.22,1.0,7.327036577207975,8.669578,8.669578,12.536058,P42/nmc ,10.1039/c4fd00143e,21
OBX-0210,Li10.35Si1.35P1.65S12,Li10.35Si1.35P1.65S12,lgps,OBELiX,0.0065,2.5,5.0,0.22,1.05,7.325622577482986,8.68385,8.68385,12.55589,P42/nmc ,10.1107/s2052520615022283,22
