number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9871867072215059,2026-06-16 20:21:09.421166,2026-06-16 20:21:26.366285,0 days 00:00:16.945119,0.4348501673009197,0.1205712628744377,12,19,700,81,2.1423021757741068,0.10129197956845731,0.5779972601681014,COMPLETE
1,0.9862259641127773,2026-06-16 20:21:26.366285,2026-06-16 20:21:35.226870,0 days 00:00:08.860585,0.5100427059120604,0.2708160864249968,3,25,1200,158,0.0033205591037519565,0.042051564509138675,0.5909124836035503,COMPLETE
2,0.9871865361318763,2026-06-16 20:21:35.226870,2026-06-16 20:21:39.581500,0 days 00:00:04.354630,0.6736419905302216,0.08012737503998542,5,33,800,22,0.8431013932082461,0.0009962513222055108,0.6831809216468459,COMPLETE
3,0.9879932637977364,2026-06-16 20:21:39.581500,2026-06-16 20:21:51.868000,0 days 00:00:12.286500,0.9693313223519999,0.011711509955524094,8,21,900,83,6.732248920775331,1.1015056790269626,0.5325257964926398,COMPLETE
4,0.9882789837667328,2026-06-16 20:21:51.869000,2026-06-16 20:21:57.060679,0 days 00:00:05.191679,0.42063311266913106,0.1024932221692416,3,16,600,51,3.5204810455260365,0.0019674328025306126,0.7475884550556351,COMPLETE
5,0.988428423385789,2026-06-16 20:21:57.060679,2026-06-16 20:22:03.976281,0 days 00:00:06.915602,0.8650796940166687,0.05864129169696527,6,22,1100,70,4.9830438374949075,2.9794544625913595,0.9847923138822793,COMPLETE
6,0.9873377714857298,2026-06-16 20:22:03.976281,2026-06-16 20:22:20.810519,0 days 00:00:16.834238,0.6332063738136893,0.01351182947645082,12,9,1000,25,0.002273762810253686,1.3921548533046495,0.6626651653816322,COMPLETE
7,0.9868048930390728,2026-06-16 20:22:20.810519,2026-06-16 20:22:24.448820,0 days 00:00:03.638301,0.9921321619603104,0.06333268775321843,5,82,700,22,0.7264803074826727,0.0009853225172032562,0.5372753218398854,COMPLETE
8,0.9873173280770402,2026-06-16 20:22:24.448820,2026-06-16 20:22:27.203697,0 days 00:00:02.754877,0.6150794371265635,0.11069143219393454,11,79,300,117,0.00037961668958008145,2.0678409397839492,0.5370223258670452,COMPLETE
9,0.9875419470201625,2026-06-16 20:22:27.204697,2026-06-16 20:22:35.693309,0 days 00:00:08.488612,0.7825344828131279,0.012413189635294229,6,36,1100,35,2.7293781650374753,0.022965432344634346,0.864803089169032,COMPLETE
