run,rank,feature
0,1,maccs_161
0,2,n_N
0,3,SMR_VSA3
0,4,maccs_158
0,5,maccs_151
0,6,maccs_142
0,7,SMR_VSA1
0,8,fr_NH0
0,9,SlogP_VSA1
0,10,mean_electronegativity
0,11,n_F
0,12,MeanEStateIndex
0,13,HOMO_proxy
0,14,SlogP_VSA10
0,15,BCUT2D_MWHI
0,16,maccs_121
0,17,HL_gap_proxy
0,18,MaxEStateIndex
0,19,EState_VSA10
0,20,EState_VSA8
0,21,MaxAbsEStateIndex
0,22,maccs_156
0,23,NumAromaticHeterocycles
0,24,maccs_111
0,25,dipole_proxy
0,26,fr_alkyl_halide
0,27,maccs_100
0,28,maccs_65
0,29,HallKierAlpha
0,30,VSA_EState1
0,31,n_X_halogen
0,32,MaxPartialCharge
0,33,fr_halogen
0,34,LUMO_proxy
0,35,n_O
0,36,maccs_84
0,37,fr_Ar_N
0,38,NOCount
0,39,MinAbsPartialCharge
0,40,morgan_378
0,41,NumHeteroatoms
0,42,BCUT2D_MRLOW
0,43,fr_NH2
0,44,maccs_42
0,45,MinEStateIndex
0,46,maccs_107
0,47,polarizability_proxy
0,48,fr_NH1
0,49,BCUT2D_CHGHI
0,50,maccs_164
0,51,SMR_VSA2
0,52,BCUT2D_MRHI
0,53,fr_nitrile
0,54,BCUT2D_LOGPHI
0,55,maccs_122
0,56,BCUT2D_CHGLO
0,57,BCUT2D_LOGPLOW
0,58,TPSA
0,59,morgan_278
0,60,FpDensityMorgan1
0,61,maccs_98
0,62,morgan_330
0,63,NumHAcceptors
0,64,PEOE_VSA4
0,65,VSA_EState6
0,66,maccs_117
0,67,MaxAbsPartialCharge
0,68,MolMR
0,69,maccs_159
0,70,PEOE_VSA14
0,71,SMR_VSA10
0,72,MinPartialCharge
0,73,VSA_EState2
0,74,Chi0v1
0,75,EState_VSA1
0,76,PEOE_VSA3
0,77,morgan_360
0,78,Chi0v
0,79,maccs_41
0,80,morgan_147
0,81,VSA_EState4
0,82,SlogP_VSA12
0,83,maccs_157
0,84,MinAbsEStateIndex
0,85,Chi0v0
0,86,VSA_EState7
0,87,NHOHCount
0,88,morgan_429
0,89,maccs_134
0,90,maccs_146
0,91,Chi0n
0,92,morgan_162
0,93,SlogP_VSA2
0,94,Chi1n
0,95,MolLogP
0,96,FpDensityMorgan2
0,97,SlogP_VSA3
0,98,SlogP_VSA8
0,99,LabuteASA
0,100,Kappa3
0,101,SlogP_VSA6
0,102,BCUT2D_MWLOW
0,103,HeavyAtomMolWt
0,104,BertzCT
0,105,Chi1v0
0,106,PEOE_VSA6
0,107,VSA_EState8
0,108,NumValenceElectrons
0,109,maccs_79
0,110,Chi1v
0,111,MolWt
0,112,Chi1v1
0,113,Kappa1
0,114,Chi2v0
0,115,ExactMolWt
0,116,morgan_392
0,117,morgan_114
0,118,fr_Ar_NH
