mol_id_a,mol_id_b,x_a,x_b,dn_linear,dn_feature,dn_feature_minus_linear,model,smiles_a,smiles_b,dn_a,dn_b
230,3381,1.0,0.0,36.68492149339982,37.99429695730463,1.3093754639048072,feature,Nc1ccccn1,c1cnc(-n2cnc3ncncc32)cn1,36.68492149339982,36.12240424965008
230,21363,1.0,0.0,36.68492149339982,37.99429695730463,1.3093754639048072,feature,Nc1ccccn1,NCNn1cnc2ncncc21,36.68492149339982,35.83905630597516
230,21371,1.0,0.0,36.68492149339982,37.99429695730463,1.3093754639048072,feature,Nc1ccccn1,NCCNn1cnc2ncncc21,36.68492149339982,35.876151984080856
230,21380,1.0,0.0,36.68492149339982,37.99429695730463,1.3093754639048072,feature,Nc1ccccn1,CN(CN)n1cnc2ncncc21,36.68492149339982,36.01511299993127
3381,21371,0.05,0.95,35.88846459735932,29.34955885776938,-6.538905739589936,feature,c1cnc(-n2cnc3ncncc32)cn1,NCCNn1cnc2ncncc21,36.12240424965008,35.876151984080856
21371,21363,1.0,0.0,35.876151984080856,29.34942168832693,-6.526730295753925,feature,NCCNn1cnc2ncncc21,NCNn1cnc2ncncc21,35.876151984080856,35.83905630597516
21380,21371,0.0,1.0,35.876151984080856,29.34942168832693,-6.526730295753925,feature,CN(CN)n1cnc2ncncc21,NCCNn1cnc2ncncc21,36.01511299993127,35.876151984080856
3381,21380,0.0,1.0,36.01511299993127,29.346780532652193,-6.668332467279075,feature,c1cnc(-n2cnc3ncncc32)cn1,CN(CN)n1cnc2ncncc21,36.12240424965008,36.01511299993127
21380,21363,1.0,0.0,36.01511299993127,29.346780532652193,-6.668332467279075,feature,CN(CN)n1cnc2ncncc21,NCNn1cnc2ncncc21,36.01511299993127,35.83905630597516
3381,21363,0.6000000000000001,0.3999999999999999,36.009065072180114,29.226966941153712,-6.782098131026402,feature,c1cnc(-n2cnc3ncncc32)cn1,NCNn1cnc2ncncc21,36.12240424965008,35.83905630597516
